"id","code","name"
"statistical_class_H0014","H0014","Rendimentos associados a ações de entidades sem relação de grupo"
"statistical_class_H0024","H0024","Rendimentos associados a ações de entidades com direitos de voto >= 10%"
"statistical_class_H0034","H0034","Rendimentos associados a ações de entidades do grupo, com direitos de voto nulos ou < 10%"
"statistical_class_H1011","H1011","Ações detidas pelo reportante, de entidades sem relação de grupo"
"statistical_class_H1021","H1021","Ações detidas pelo reportante de entidades já constituídas onde os direitos de voto sejam >= 10%"
"statistical_class_H1022","H1022","Ações detidas via constituição/liquidação de entidades onde os direitos de voto sejam > =10%"
"statistical_class_H1023","H1023","Ações detidas via aumento/redução no capital de entidades onde os direitos de voto sejam >= 10%"
"statistical_class_H1031","H1031","Ações detidas de entidades do grupo já constituídas, onde os direitos de voto no emitente nulos ou < 10%"
"statistical_class_H1032","H1032","Ações detidas via constituição/liquidação de entidades do grupo com direitos de voto no emitente nulos ou < 10%"
"statistical_class_H1033","H1033","Ações detidas via aumento/redução de capital de entidades do grupo onde os direitos de voto sejam nulos ou < 10%"
"statistical_class_H2011","H2011","Ações próprias transacionadas com entidades sem relacao de grupo"
"statistical_class_H2021","H2021","Ações próprias transacionadas com entidades que detêm direitos de voto >=10%"
"statistical_class_H2022","H2022","Ações próprias detidas por entidades com direitos de voto >=10% via constituição/liquidação do reportante"
"statistical_class_H2023","H2023","Ações próprias detidas por entidades com direitos de voto >=10% via aumento/redução de capital do reportante"
"statistical_class_H2031","H2031","Ações próprias transacionadas com entidades do grupo, que detêm direitos de votos nulos ou <10%"
"statistical_class_H2032","H2032","Ações próprias detidas por entidades do grupo, com direitos de votos nulos ou <10% via constituição/liquidação"
"statistical_class_H2033","H2033","Ações próprias detidas por entidades do grupo, com direitos de votos nulos ou <10% via aumento/redução de capital"
"statistical_class_I0014","I0014","Rendimentos associados a unidades de participação"
"statistical_class_I1011","I1011","Unidades de participação detidas pelo reportante"
"statistical_class_I2011","I2011","Unidades de participação emitidas pelo reportante"
"statistical_class_J0014","J0014","Rendimentos associados a outros títulos de participação no capital de entidades sem relação de grupo"
"statistical_class_J0024","J0024","Rendimentos de outros títulos de participação no capital de entidades com direitos de voto >= 10%"
"statistical_class_J0034","J0034","Rendimentos de outros títulos de participação no capital de entidades do grupo, com direitos de voto nulos ou < 10%"
"statistical_class_J1011","J1011","Outros títulos de participação no capital detidos pelo reportante, de entidades sem relação de grupo"
"statistical_class_J1021","J1021","Outros títulos de participação no capital detidos pelo reportante, de entidades onde direitos de voto sejam >= 10%"
"statistical_class_J1031","J1031","Outros títulos de participação no capital detidos, de entidades do grupo com direitos de voto sejam nulos ou < 10%"
"statistical_class_J2011","J2011","Outros títulos de participação no capital, próprios transacionados com entidades sem relação de grupo"
"statistical_class_J2021","J2021","Outros títulos de participação no capital, próprios transaccionados com entidades que detêm direitos de voto >= 10%"
"statistical_class_J2031","J2031","Outros tít participação no capital, próprios detidos por entidades do grupo que detêm direitos de voto nulos ou < 10%"
"statistical_class_K0114","K0114","Juros de títulos de dívida com prazo <= 1 ano, emitidos por entidades sem relação de grupo"
"statistical_class_K0124","K0124","Juros de títulos de dívida com prazo <= 1 ano, emitidos por entidades com direitos de voto >= 10%"
"statistical_class_K0134","K0134","Juros de títulos de dívida com prazo <= 1 ano, emitidos por entidades de grupo com direitos de voto nulos ou < 10%"
"statistical_class_K0214","K0214","Juros de títulos de dívida com prazo > 1 ano, emitidos por entidades sem relação de grupo"
"statistical_class_K0224","K0224","Juros de títulos de dívida com prazo > 1 ano, emitidos por entidades com direitos de voto >= 10%"
"statistical_class_K0234","K0234","Juros de títulos de dívida com prazo > 1 ano, emitidos por entidades do grupo com direitos de voto nulos ou < 10%"
"statistical_class_K1111","K1111","Títulos de dívida com prazo <= 1 ano detidos pelo reportante, de entidades sem relação de grupo"
"statistical_class_K1121","K1121","Títulos de dívida com prazo <= 1 ano detidos pelo reportante, de entidades onde os direitos de voto sejam >=10%"
"statistical_class_K1131","K1131","Títulos de dívida com prazo <= 1 ano detidos, de entidades do grupo onde os direitos de voto sejam nulos ou <10%"
"statistical_class_K1211","K1211","Títulos de dívida com prazo > 1 ano detidos pelo reportante, de entidades sem relação de grupo"
"statistical_class_K1221","K1221","Títulos de dívida com prazo > 1 ano detidos pelo reportante, de entidades onde os direitos de voto sejam>=10%"
