"id","name","code_prefix_start","code_prefix_end"
"pt_ag_426","Outras propriedades de investimento","426","426"
"pt_ag_428","Depreciações acumuladas","428","428"
"pt_ag_429","Perdas por imparidade acumuladas","429","429"
"pt_ag_4291","Aceite Fiscalmente","4291","4291"
"pt_ag_4292","Não Aceite Fiscalmente","4292","4292"
"pt_ag_43","Ativos Fixos Tangíveis","43","43"
"pt_ag_431","Terrenos e recursos naturais","431","431"
"pt_ag_432","Edifícios e outras construções","432","432"
"pt_ag_433","Equipamento básico","433","433"
"pt_ag_434","Equipamento de transporte","434","434"
"pt_ag_435","Equipamento administrativo","435","435"
"pt_ag_436","Equipamentos biológicos","436","436"
"pt_ag_437","Outros activos fixos tangíveis","437","437"
"pt_ag_438","Depreciações acumuladas","438","438"
"pt_ag_439","Perdas por imparidade acumuladas","439","439"
"pt_ag_4391","Aceite Fiscalmente","4391","4391"
"pt_ag_4392","Não Aceite Fiscalmente","4392","4392"
"pt_ag_44","Ativos Intangíveis","44","44"
"pt_ag_441","Goodwill","441","441"
"pt_ag_442","Projectos de desenvolvimento","442","442"
"pt_ag_443","Programas de computador","443","443"
"pt_ag_444","Propriedade industrial","444","444"
"pt_ag_446","Outros activos intangíveis","446","446"
"pt_ag_448","Depreciações acumuladas","448","448"
"pt_ag_449","Perdas por imparidade acumuladas","449","449"
"pt_ag_4491","Aceite Fiscalmente","4491","4491"
"pt_ag_4492","Não Aceite Fiscalmente","4492","4492"
"pt_ag_45","Investimentos em Curso","45","45"
"pt_ag_455","Adiantamentos por conta de investimentos","455","455"
"pt_ag_459","Perdas por imparidade acumuladas","459","459"
"pt_ag_4591","Aceite Fiscalmente","4591","4591"
"pt_ag_4592","Não Aceite Fiscalmente","4592","4592"
"pt_ag_46","Ativos Não Correntes Detidos para Venda","46","46"
"pt_ag_469","Perdas por imparidade acumuladas","469","469"
"pt_ag_4691","Aceite Fiscalmente","4691","4691"
"pt_ag_4692","Não Aceite Fiscalmente","4692","4692"
"pt_ag_5","Capital, Reservas e Resultados Transitados","5","5"
"pt_ag_51","Capital Subscrito","51","51"
"pt_ag_52","Ações (quotas) Próprias","52","52"
"pt_ag_53","Outros Instrumentos de Capital Próprio","53","53"
"pt_ag_531","Outros Instrumentos de Capital Próprio","531","531"
"pt_ag_54","Prémios de Emissão","54","54"
"pt_ag_541","Prémios de Emissão","541","541"
"pt_ag_55","Reservas","55","55"
"pt_ag_56","Resultados Transitados","56","56"
"pt_ag_57","Ajustamentos em Ativos Financeiros","57","57"
"pt_ag_571","Relacionados com o método da equivalência patrimonial","571","571"
"pt_ag_58","Excedentes de Revalorização de AFT e AI","58","58"
"pt_ag_581","Reavaliações decorrentes de diplomas legais","581","581"
"pt_ag_589","Outros excedentes","589","589"
"pt_ag_59","Outras Variações no Capital Próprio","59","59"
"pt_ag_593","Subsídios","593","593"
"pt_ag_6","Gastos","6","6"
"pt_ag_61","Custo das Mercadorias Vendidas e das Matérias Consumidas","61","61"
"pt_ag_62","Fornecimentos e Serviços Externos","62","62"
"pt_ag_621","Subcontratos","621","621"
"pt_ag_622","Serviços especializados","622","622"
"pt_ag_6221","Trabalhos especializados","6221","6221"
"pt_ag_6222","Publicidade e propaganda","6222","6222"
"pt_ag_6223","Vigilância e segurança","6223","6223"
"pt_ag_6224","Honorários","6224","6224"
"pt_ag_6225","Comissões","6225","6225"
"pt_ag_6226","Conservação e Reparação","6226","6226"
"pt_ag_62261","Conservação e Reparação - Mercado Nacional","62261","62261"
"pt_ag_622611","Conservação e Reparação - Mercado Nacional - Viaturas Ligeiras de Passageiros e de Mercadorias","622611","622611"
"pt_ag_6226111","Conservação e Reparação - Mercado Nacional - VLPM - Sujeito a Tributação Autónoma (8%)","6226111","6226111"
"pt_ag_6226112","Conservação e Reparação - Mercado Nacional - VLPM - Sujeito a Tributação Autónoma (25%)","6226112","6226112"
"pt_ag_6226113","Conservação e Reparação - Mercado Nacional - VLPM - Sujeito a Tributação Autónoma (32%)","6226113","6226113"
"pt_ag_6226114","Conservação e Reparação - Mercado Nacional - VLPM - Sujeito a Tributação Autónoma (0%)","6226114","6226114"
"pt_ag_622612","Conservação e Reparação - Mercado Nacional - Viaturas Ligeiras de Passageiros Híbridas Plug-in","622612","622612"
"pt_ag_6226121","Conservação e Reparação - Mercado Nacional - VLPHP - Sujeito a Tributação Autónoma (2,5%)","6226121","6226121"
"pt_ag_6226122","Conservação e Reparação - Mercado Nacional - VLPHP - Sujeito a Tributação Autónoma (7,5%)","6226122","6226122"
"pt_ag_6226123","Conservação e Reparação - Mercado Nacional - VLPHP - Sujeito a Tributação Autónoma (15%)","6226123","6226123"
"pt_ag_6226124","Conservação e Reparação - Mercado Nacional - VLPHP - Sujeito a Tributação Autónoma (0%)","6226124","6226124"
"pt_ag_622613","Conservação e Reparação - Mercado Nacional - Viaturas Ligeiras de Passageiros movidas a GPL ou GNV","622613","622613"
"pt_ag_6226131","Conservação e Reparação - Mercado Nacional - GPL ou GNV - Sujeito a Tributação Autónoma (2,5%)","6226131","6226131"
"pt_ag_6226132","Conservação e Reparação - Mercado Nacional - GPL ou GNV - Sujeito a Tributação Autónoma (7,5%)","6226132","6226132"
"pt_ag_6226133","Conservação e Reparação - Mercado Nacional - GPL ou GNV - Sujeito a Tributação Autónoma (15%)","6226133","6226133"
"pt_ag_6226134","Conservação e Reparação - Mercado Nacional - GPL ou GNV - Sujeito a Tributação Autónoma (0%)","6226134","6226134"
"pt_ag_622614","Conservação e Reparação - Mercado Nacional - Viaturas Ligeiras de Passageiros movidas exclusivamente a Energia Elétrica","622614","622614"
"pt_ag_6226141","Conservação e Reparação - Mercado Nacional - Energia Elétrica - Sujeito a Tributação Autónoma (10%)","6226141","6226141"
"pt_ag_6226142","Conservação e Reparação - Mercado Nacional - Energia Elétrica - Sujeito a Tributação Autónoma (0%)","6226142","6226142"
"pt_ag_62262","Conservação e Reparação - Mercado Intracomunitário","62262","62262"
"pt_ag_622621","Conservação e Reparação - Mercado Intracomunitário - Viaturas Ligeiras de Passageiros e de Mercadorias","622621","622621"
"pt_ag_6226211","Conservação e Reparação - Mercado Intracomunitário - VLPM - Sujeito a Tributação Autónoma (8%)","6226211","6226211"
"pt_ag_6226212","Conservação e Reparação - Mercado Intracomunitário - VLPM - Sujeito a Tributação Autónoma (25%)","6226212","6226212"
